Year,Population
1975,6879464
1980,8350616
1981,8666695
1982,8907568
1983,9195207
1984,9491503
1985,9625755
1986,9786536
1987,9979577
1988,10276308
1989,10566447
1990,10603250
1991,10873055
1992,10935230
1993,10889499
1994,10759454
1995,10550871
1996,10418076
1997,10336134
1998,10270506
1999,10264260
2000,10311314
2001,10263336
2002,10207295
2003,10174086
2004,10173162
2005,10167344
2006,10181166
2007,10192710
2008,10200827
2009,10208302
2010,10312545
2011,10249679
2012,10195318
2013,10143645
2014,10103233
2015,10022181
2016,9930616
2017,9857426
2018,9765623
2019,9729107
2020,9668465
2021,9509458
2022,9428372
